,Date,Phase,Team_home,Team_home_short,Team_visitor,Team_visitor_short,World_Cup,Team_home_penalties_score,Team_visitor_penalties_score,Team_home_score,Team_visitor_score,Result,Result_with_penalties
158,2006-06-20,Group A,Ecuador,ECU,Germany,GER,Germany-2006,0,0,0,3,Loss,Loss
159,2006-06-20,Group A,Costa Rica,CRC,Poland,POL,Germany-2006,0,0,1,2,Loss,Loss
160,2006-06-20,Group B,Sweden,SWE,England,ENG,Germany-2006,0,0,2,2,Draw,Draw
161,2006-06-20,Group B,Paraguay,PAR,Trinidad and Tobago,TRI,Germany-2006,0,0,2,0,Win,Win
162,2006-06-21,Group D,IR Iran,IRN,Angola,ANG,Germany-2006,0,0,1,1,Draw,Draw
163,2006-06-21,Group D,Portugal,POR,Mexico,MEX,Germany-2006,0,0,2,1,Win,Win
164,2006-06-21,Group C,Netherlands,NED,Argentina,ARG,Germany-2006,0,0,0,0,Draw,Draw
165,2006-06-22,Group E,Czech Republic,CZE,Italy,ITA,Germany-2006,0,0,0,2,Loss,Loss
166,2006-06-22,Group E,Ghana,GHA,USA,USA,Germany-2006,0,0,2,1,Win,Win
167,2006-06-22,Group F,Japan,JPN,Brazil,BRA,Germany-2006,0,0,1,4,Loss,Loss
168,2006-06-22,Group F,Croatia,CRO,Australia,AUS,Germany-2006,0,0,2,2,Draw,Draw
169,2006-06-23,Group H,Ukraine,UKR,Tunisia,TUN,Germany-2006,0,0,1,0,Win,Win
170,2006-06-23,Group H,Saudi Arabia,KSA,Spain,ESP,Germany-2006,0,0,0,1,Loss,Loss
171,2006-06-23,Group G,Togo,TOG,France,FRA,Germany-2006,0,0,0,2,Loss,Loss
172,2006-06-23,Group G,Switzerland,SUI,Korea Republic,KOR,Germany-2006,0,0,2,0,Win,Win
173,2006-06-24,Round of 16,Germany,GER,Sweden,SWE,Germany-2006,0,0,2,0,Win,Win
174,2006-06-24,Round of 16,Argentina,ARG,Mexico,MEX,Germany-2006,0,0,2,1,Win,Win
175,2006-06-25,Round of 16,England,ENG,Ecuador,ECU,Germany-2006,0,0,1,0,Win,Win
176,2006-06-25,Round of 16,Portugal,POR,Netherlands,NED,Germany-2006,0,0,1,0,Win,Win
177,2006-06-26,Round of 16,Italy,ITA,Australia,AUS,Germany-2006,0,0,1,0,Win,Win
178,2006-06-26,Round of 16,Switzerland,SUI,Ukraine,UKR,Germany-2006,0,3,0,0,Draw,Loss
179,2006-06-27,Round of 16,Brazil,BRA,Ghana,GHA,Germany-2006,0,0,3,0,Win,Win
180,2006-06-27,Round of 16,Spain,ESP,France,FRA,Germany-2006,0,0,1,3,Loss,Loss
181,2006-06-30,Quarter-finals,Germany,GER,Argentina,ARG,Germany-2006,4,2,1,1,Draw,Win
182,2006-06-30,Quarter-finals,Italy,ITA,Ukraine,UKR,Germany-2006,0,0,3,0,Win,Win
183,2006-07-01,Quarter-finals,England,ENG,Portugal,POR,Germany-2006,1,3,0,0,Draw,Loss
184,2006-07-01,Quarter-finals,Brazil,BRA,France,FRA,Germany-2006,0,0,0,1,Loss,Loss
185,2006-07-04,Semi-finals,Germany,GER,Italy,ITA,Germany-2006,0,0,0,2,Loss,Loss
186,2006-07-05,Semi-finals,Portugal,POR,France,FRA,Germany-2006,0,0,0,1,Loss,Loss
187,2006-07-08,Third place,Germany,GER,Portugal,POR,Germany-2006,0,0,3,1,Win,Win
188,2006-07-09,Final,Italy,ITA,France,FRA,Germany-2006,5,3,1,1,Draw,Win
189,2002-05-31,Group A,France,FRA,Senegal,SEN,Korea/Japan-2002,0,0,0,1,Loss,Loss
190,2002-06-01,Group A,Uruguay,URU,Denmark,DEN,Korea/Japan-2002,0,0,1,2,Loss,Loss
191,2002-06-01,Group E,Republic of Ireland,IRL,Cameroon,CMR,Korea/Japan-2002,0,0,1,1,Draw,Draw
192,2002-06-01,Group E,Germany,GER,Saudi Arabia,KSA,Korea/Japan-2002,0,0,8,0,Win,Win
193,2002-06-02,Group F,Argentina,ARG,Nigeria,NGA,Korea/Japan-2002,0,0,1,0,Win,Win
194,2002-06-02,Group B,Paraguay,PAR,South Africa,RSA,Korea/Japan-2002,0,0,2,2,Draw,Draw
195,2002-06-02,Group F,England,ENG,Sweden,SWE,Korea/Japan-2002,0,0,1,1,Draw,Draw
196,2002-06-02,Group B,Spain,ESP,Slovenia,SVN,Korea/Japan-2002,0,0,3,1,Win,Win
197,2002-06-03,Group C,Brazil,BRA,Turkey,TUR,Korea/Japan-2002,0,0,2,1,Win,Win
198,2002-06-03,Group G,Italy,ITA,Ecuador,ECU,Korea/Japan-2002,0,0,2,0,Win,Win
199,2002-06-03,Group G,Croatia,CRO,Mexico,MEX,Korea/Japan-2002,0,0,0,1,Loss,Loss
200,2002-06-04,Group C,China PR,CHN,Costa Rica,CRC,Korea/Japan-2002,0,0,0,2,Loss,Loss
201,2002-06-04,Group H,Japan,JPN,Belgium,BEL,Korea/Japan-2002,0,0,2,2,Draw,Draw
202,2002-06-04,Group D,Korea Republic,KOR,Poland,POL,Korea/Japan-2002,0,0,2,0,Win,Win
203,2002-06-05,Group H,Russia,RUS,Tunisia,TUN,Korea/Japan-2002,0,0,2,0,Win,Win
204,2002-06-05,Group D,USA,USA,Portugal,POR,Korea/Japan-2002,0,0,3,2,Win,Win
205,2002-06-05,Group E,Germany,GER,Republic of Ireland,IRL,Korea/Japan-2002,0,0,1,1,Draw,Draw
206,2002-06-06,Group A,Denmark,DEN,Senegal,SEN,Korea/Japan-2002,0,0,1,1,Draw,Draw
207,2002-06-06,Group E,Cameroon,CMR,Saudi Arabia,KSA,Korea/Japan-2002,0,0,1,0,Win,Win
208,2002-06-06,Group A,France,FRA,Uruguay,URU,Korea/Japan-2002,0,0,0,0,Draw,Draw
209,2002-06-07,Group F,Sweden,SWE,Nigeria,NGA,Korea/Japan-2002,0,0,2,1,Win,Win
210,2002-06-07,Group F,Argentina,ARG,England,ENG,Korea/Japan-2002,0,0,0,1,Loss,Loss
211,2002-06-07,Group B,Spain,ESP,Paraguay,PAR,Korea/Japan-2002,0,0,3,1,Win,Win
212,2002-06-08,Group B,South Africa,RSA,Slovenia,SVN,Korea/Japan-2002,0,0,1,0,Win,Win
213,2002-06-08,Group C,Brazil,BRA,China PR,CHN,Korea/Japan-2002,0,0,4,0,Win,Win
214,2002-06-08,Group G,Italy,ITA,Croatia,CRO,Korea/Japan-2002,0,0,1,2,Loss,Loss
215,2002-06-09,Group C,Costa Rica,CRC,Turkey,TUR,Korea/Japan-2002,0,0,1,1,Draw,Draw
216,2002-06-09,Group H,Japan,JPN,Russia,RUS,Korea/Japan-2002,0,0,1,0,Win,Win
217,2002-06-09,Group G,Mexico,MEX,Ecuador,ECU,Korea/Japan-2002,0,0,2,1,Win,Win
218,2002-06-10,Group D,Korea Republic,KOR,USA,USA,Korea/Japan-2002,0,0,1,1,Draw,Draw
219,2002-06-10,Group D,Portugal,POR,Poland,POL,Korea/Japan-2002,0,0,4,0,Win,Win
220,2002-06-10,Group H,Tunisia,TUN,Belgium,BEL,Korea/Japan-2002,0,0,1,1,Draw,Draw
221,2002-06-11,Group A,Denmark,DEN,France,FRA,Korea/Japan-2002,0,0,2,0,Win,Win
